disease,gene,score
44,2733,1.39
73,2733,1.255
31,2733,1.147
55,2733,1.138
30,2733,1.106
3,2733,1.103
11,2733,1.081
56,2733,1.075
24,2733,1.074
64,2733,1.025
6,2733,0.877
33,2733,0.838
34,2733,0.815
70,2733,0.713
20,2733,0.65
82,2733,0.628
72,2733,0.625
39,2733,0.623
54,2733,0.598
68,2733,0.571
14,2733,0.538
60,2733,0.516
50,2552,1.249
44,2552,0.935
38,2552,0.908
73,2552,0.813
55,2552,0.697
6,2552,0.674
29,2552,0.63
31,2552,0.531
55,2813,2.15
50,2813,1.977
44,2813,1.828
72,2813,1.719
70,2813,1.719
82,2813,1.712
38,2813,1.702
73,2813,1.688
4,2813,1.603
31,2813,1.595
21,2813,1.54
26,2813,1.504
6,2813,1.502
56,2813,1.489
14,2813,1.489
64,2813,1.399
79,2813,1.394
24,2813,1.387
11,2813,1.367
83,2813,1.365
8,2813,1.365
71,2813,1.348
18,2813,1.347
3,2813,1.34
30,2813,1.338
85,2813,1.335
75,2813,1.328
88,2813,1.304
60,2813,1.257
68,2813,1.229
34,2813,1.207
49,2813,1.152
37,2813,1.111
47,2813,1.105
39,2813,1.064
43,2813,1.034
32,2813,1.003
19,2813,0.958
20,2813,0.943
7,2813,0.923
25,2813,0.876
80,2813,0.873
16,2813,0.82
89,2813,0.814
65,2813,0.807
62,2813,0.798
86,2813,0.794
52,2813,0.73
81,2813,0.669
22,2813,0.642
66,2813,0.607
28,2813,0.595
58,2813,0.578
10,2813,0.568
12,2813,0.546
41,2813,0.528
13,2813,0.523
50,4088,1.516
31,4088,1.291
56,4088,1.198
44,4088,1.173
8,4088,1.064
6,4088,1.061
70,4088,0.948
55,4088,0.943
47,4088,0.93
64,4088,0.911
85,4088,0.886
20,4088,0.859
11,4088,0.836
7,4088,0.805
24,4088,0.776
4,4088,0.769
38,4088,0.742
73,4088,0.727
34,4088,0.721
30,4088,0.713
3,4088,0.71
72,4088,0.703
14,4088,0.695
89,4088,0.682
62,4088,0.67
75,4088,0.666
66,4088,0.633
26,4088,0.628
88,4088,0.606
68,4088,0.529
82,4088,0.522
16,5068,2.681
21,5068,2.67
70,5068,2.645
29,5068,2.508
58,5068,2.286
90,5068,2.219
79,5068,2.18
6,5068,2.147
14,5068,2.127
31,5068,2.109
44,5068,2.055
82,5068,2.047
10,5068,1.947
50,5068,1.911
71,5068,1.896
56,5068,1.882
75,5068,1.875
76,5068,1.874
38,5068,1.858
4,5068,1.848
81,5068,1.821
55,5068,1.8
47,5068,1.768
54,5068,1.744
7,5068,1.728
24,5068,1.722
64,5068,1.713
74,5068,1.71
26,5068,1.684
73,5068,1.617
66,5068,1.592
19,5068,1.591
5,5068,1.583
37,5068,1.56
69,5068,1.521
61,5068,1.512
48,5068,1.51
85,5068,1.496
43,5068,1.483
11,5068,1.469
83,5068,1.446
3,5068,1.443
30,5068,1.436
34,5068,1.431
32,5068,1.378
25,5068,1.364
72,5068,1.354
20,5068,1.325
68,5068,1.315
88,5068,1.302
78,5068,1.296
49,5068,1.26
40,5068,1.242
39,5068,1.234
51,5068,1.195
80,5068,1.132
60,5068,1.13
28,5068,1.126
52,5068,1.079
65,5068,1.071
27,5068,1.063
1,5068,1.048
17,5068,1.041
2,5068,0.985
89,5068,0.968
15,5068,0.924
53,5068,0.909
86,5068,0.886
36,5068,0.883
0,5068,0.866
13,5068,0.809
67,5068,0.787
33,5068,0.688
8,5068,0.676
42,5068,0.673
77,5068,0.622
45,5068,0.529
41,5068,0.507
70,1520,1.901
82,1520,1.735
14,1520,1.66
44,1520,1.612
7,1520,1.502
4,1520,1.491
50,1520,1.44
64,1520,1.432
55,1520,1.425
21,1520,1.393
79,1520,1.392
31,1520,1.319
54,1520,1.304
37,1520,1.279
43,1520,1.255
90,1520,1.253
32,1520,1.247
47,1520,1.242
38,1520,1.19
26,1520,1.111
56,1520,1.1
25,1520,1.085
24,1520,1.082
