Adipose_Subcutaneous,Adipose_Visceral_Omentum,Adrenal_Gland,Artery_Aorta,Artery_Coronary,Artery_Tibial,Bladder,Brain_Amygdala,Brain_Anterior_cingulate_cortex_BA24,Brain_Caudate_basal_ganglia,Brain_Cerebellar_Hemisphere,Brain_Cerebellum,Brain_Cortex,Brain_Frontal_Cortex_BA9,Brain_Hippocampus,Brain_Hypothalamus,Brain_Nucleus_accumbens_basal_ganglia,Brain_Putamen_basal_ganglia,Brain_Spinal_cord_cervical_c-1,Brain_Substantia_nigra,Breast_Mammary_Tissue,Cells_Cultured_fibroblasts,Cells_EBV-transformed_lymphocytes,Cervix_Ectocervix,Cervix_Endocervix,Colon_Sigmoid,Colon_Transverse,Colon_Transverse_Mixed_Cell,Colon_Transverse_Mucosa,Colon_Transverse_Muscularis,Esophagus_Gastroesophageal_Junction,Esophagus_Mucosa,Esophagus_Muscularis,Fallopian_Tube,Heart_Atrial_Appendage,Heart_Left_Ventricle,Kidney_Cortex,Kidney_Medulla,Liver,Liver_Hepatocyte,Liver_Mixed_Cell,Liver_Portal_Tract,Lung,Minor_Salivary_Gland,Muscle_Skeletal,Nerve_Tibial,Ovary,Pancreas,Pancreas_Acini,Pancreas_Islets,Pancreas_Mixed_Cell,Pituitary,Prostate,Skin_Not_Sun_Exposed_Suprapubic,Skin_Sun_Exposed_Lower_leg,Small_Intestine_Terminal_Ileum,Small_Intestine_Terminal_Ileum_Lymphode_Aggregate,Small_Intestine_Terminal_Ileum_Mixed_Cell,Spleen,Stomach,Stomach_Mixed_Cell,Stomach_Mucosa,Stomach_Muscularis,Testis,Thyroid,Uterus,Vagina,Whole_Blood
18.7129,21.3807,4.80433,25.7958,26.9235,23.0238,28.08,19.9324,23.2759,19.2919,4.73566,8.26364,45.725,32.4306,15.7865,14.3299,14.9056,17.6779,15.4705,15.0685,29.0759,31.9817,56.5529,34.5871,40.764,21.192,20.5017,17.7237,14.788,16.344,23.043,28.4461,19.9905,30.849,9.26967,6.92624,50.2967,117.156,13.3146,10.1938,12.401,76.1394,53.458,46.8204,2.45491,24.0655,13.4846,23.733,18.1205,9.35017,18.9549,17.5521,37.1399,34.947,32.0992,18.9011,8.48363,18.1404,13.355,21.6513,18.5364,14.6818,16.9874,32.2854,99.5813,28.3964,29.0843,0.641283
1.40692,1.62098,0.073119,0.065801,0.143773,0.103079,0.308491,0.099544,0.0727,0.171419,0.114572,0.125539,0.0937585,0.071462,0.170991,0.257694,0.082658,0.095965,0.089435,0.079352,1.5768,0.0229425,0.031088,0.254646,0.416867,0.137421,0.328361,0.585639,0.6617,0.233839,0.136707,0.395168,0.138124,3.64583,0.0965,0.161537,0.284734,0.860981,0.063963,0.018164,0.012428,0.915975,1.94616,0.427126,0.181108,0.281269,0.068278,0.186115,0.252739,1.54115,0.233483,3.61674,0.608459,0.402355,0.387286,0.348421,0.196221,0.412293,0.140987,0.348086,0.415285,0.365308,0.113889,82.0968,0.476687,0.195978,0.283956,0.037157
2.18355,2.36381,0.32434,0.861668,1.16101,0.29204,1.09142,1.00921,2.10154,0.257214,6.71737,5.2823,2.79702,3.06736,0.547844,0.44915,0.23462,0.316775,0.572774,0.356693,3.20923,0.140522,15.3004,4.66659,2.24103,0.54543,6.22004,8.57262,9.9708,1.04405,0.468296,5.4753,0.473118,1.25772,0.324745,0.205578,0.595171,0.703338,0.477384,0.273303,0.276782,10.746,6.66378,6.43407,0.247273,0.905257,0.393165,0.167042,0.149251,1.43102,0.247865,6.32733,3.74252,36.5223,30.5132,8.53436,16.3283,11.3023,12.4078,1.85939,2.86512,2.6389,0.468486,2.00353,1.41189,0.723991,4.40976,7.93132
9.53253,15.6117,0.793492,2.65167,2.98567,1.86904,2.62469,0.618551,0.708264,0.428384,1.09438,1.30147,1.54528,1.3588,1.01268,0.594018,0.450391,0.470849,0.678853,0.5668,9.83312,0.121912,10.8417,2.72522,3.98749,2.1501,4.96108,6.23505,5.98323,2.43031,2.20292,1.32523,1.93884,2.44024,2.6281,3.41472,2.12465,4.23399,0.614662,0.455462,0.393807,9.51744,14.4913,2.82774,1.69967,2.44141,2.055,0.734759,0.806093,2.34573,1.22728,3.25083,6.60528,1.88636,2.00838,7.46595,24.5938,11.7134,24.8578,2.93399,3.19342,3.72555,2.12162,0.984216,10.4446,3.1718,2.29179,6.33212
14.9542,15.1058,12.902,15.0118,16.8082,12.8885,13.8707,12.0209,14.6769,10.0098,13.5342,13.2364,15.845,18.5531,12.8286,14.779,11.6373,9.27255,11.4144,8.66109,15.8823,29.3864,13.0375,12.8855,22.69,12.5272,10.0518,11.0054,6.54234,14.9945,11.9047,10.8848,11.6461,20.4538,7.63587,6.39317,7.47785,12.9573,9.14998,10.7662,9.44873,21.2095,15.4575,10.7682,7.2188,18.657,15.8473,8.31695,7.71697,15.0016,8.89495,18.6889,16.5131,15.7101,15.3468,11.6774,19.2167,14.4438,20.1625,10.9289,11.6739,11.7611,13.5992,13.7095,18.1321,23.4448,13.062,4.88316
6.13048,6.45794,6.97225,4.52988,5.1065,3.08295,7.83437,9.10732,10.9864,10.2026,46.2786,51.9931,18.4072,14.5361,9.29005,9.91882,12.7278,8.74557,10.855,7.21828,7.98514,2.11486,1.88303,12.4309,18.1938,12.4372,5.47162,4.50628,3.33771,17.4232,8.68059,3.96329,8.24168,24.1026,3.35694,2.38819,5.38603,8.7887,6.10547,8.90789,5.35498,13.2148,5.54018,6.26862,1.80665,18.9709,23.2377,2.27536,5.49603,10.6566,3.39005,29.3192,13.9108,5.52435,4.74351,9.48298,17.0078,9.78667,10.4629,6.04916,7.42861,6.68715,12.2481,63.7641,11.0719,17.5118,10.6486,1.44151
26.9172,22.3524,24.4145,24.9903,24.6242,21.6984,25.1388,15.1352,20.6996,14.5092,24.6332,25.6142,29.1336,27.2755,17.7808,13.6428,14.7313,13.3928,15.3774,15.977,28.1313,23.242,19.7762,39.1901,31.3378,23.5648,33.0941,58.8455,57.686,21.4776,23.9087,57.5655,23.9908,29.066,20.355,51.6182,21.9368,35.6163,41.3855,32.5307,38.6691,28.6173,24.9625,39.8833,22.7367,26.2612,21.1024,10.6988,12.7496,9.87876,12.9982,14.1534,33.4571,44.143,49.2438,30.7556,29.3098,39.3237,34.3268,34.5717,50.8859,54.0426,20.5347,131.322,29.0569,32.5564,39.8858,14.9397
0.506809,0.524554,0.532488,0.487425,0.575627,0.348469,0.522565,0.347896,0.394709,0.389547,1.97772,2.16786,0.612625,0.518949,0.358875,0.381827,0.462735,0.356957,0.378852,0.302055,0.708401,0.204868,1.19481,1.22359,1.05256,0.564806,1.5512,1.86776,2.07348,1.09397,0.50063,1.68245,0.505301,1.01685,0.613996,0.749436,0.439566,0.713608,0.59219,0.529231,0.517989,3.05992,0.987777,2.24267,0.879789,1.16131,0.963208,0.173164,0.320676,0.64195,0.219362,3.11801,0.769508,0.648243,0.706895,2.82647,8.33596,4.48965,6.00202,0.702802,1.10729,1.08219,0.668087,2.17282,1.36045,0.950345,1.38542,1.03459
13.7795,13.969,9.66857,12.8134,13.8749,12.1376,16.8072,5.02754,6.67779,5.45608,21.6955,23.3435,10.7548,8.37968,5.99391,7.6276,6.59739,5.05323,6.55601,5.51507,17.2805,16.8736,20.7269,19.829,26.6247,14.8859,14.15,14.8559,17.0945,19.7,13.1008,16.0023,12.5282,25.1706,5.98607,3.98627,10.8235,21.8348,8.73435,11.8548,10.7694,24.7566,19.792,14.1123,4.4427,22.0845,24.7533,7.57334,11.0325,18.6925,9.99334,28.1958,25.6597,19.8501,19.9842,15.2395,39.9675,21.6661,23.3122,11.8384,16.0936,13.7849,17.4137,25.8302,25.7942,24.2328,19.7396,5.57238
49.4385,50.3758,38.8836,45.3943,48.1695,42.9274,42.7269,30.4305,36.5905,34.1388,65.353,61.8661,42.1239,44.9503,26.7263,35.3553,39.9403,30.5724,30.6337,27.3335,53.9867,54.8525,50.0504,48.715,52.7538,47.4496,42.1477,40.0173,38.3756,43.9106,44.2912,49.5038,43.2586,51.7341,26.6691,23.2271,31.1646,48.8996,26.4077,28.5175,27.6018,56.7068,59.8906,45.0459,51.7545,48.7244,54.337,23.5652,25.0476,49.1279,25.7701,61.1411,54.1492,48.1126,50.8208,46.5393,71.0826,48.3903,63.0806,39.5778,39.9088,37.4848,53.8785,45.8734,75.6791,55.7842,48.8691,39.8179
