disease,gene,score
16,1998,1.72
41,1998,1.643
27,1998,1.525
4,1998,1.491
70,1998,1.483
44,1998,1.445
82,1998,1.423
32,1998,1.396
37,1998,1.394
68,1998,1.337
14,1998,1.238
10,1998,1.223
85,1998,1.205
64,1998,1.19
66,1998,1.18
55,1998,1.163
50,1998,1.124
31,1998,1.073
7,1998,1.02
73,1998,1.004
25,1998,0.996
79,1998,0.995
24,1998,0.949
47,1998,0.939
26,1998,0.915
20,1998,0.858
90,1998,0.791
54,1998,0.789
38,1998,0.755
21,1998,0.751
11,1998,0.735
19,1998,0.72
34,1998,0.719
42,1998,0.692
56,1998,0.685
72,1998,0.666
30,1998,0.666
3,1998,0.663
6,1998,0.658
1,1998,0.649
75,1998,0.64
77,1998,0.59
39,1998,0.571
43,1998,0.546
64,965,2.069
90,965,1.912
54,965,1.547
48,965,1.126
70,965,1.122
24,965,1.091
61,965,1.089
6,965,1.055
31,965,1.048
44,965,1.018
55,965,0.965
82,965,0.954
89,965,0.915
67,965,0.892
4,965,0.89
73,965,0.828
21,965,0.796
56,965,0.794
14,965,0.79
79,965,0.773
20,965,0.694
39,965,0.647
34,965,0.644
10,965,0.616
50,965,0.61
26,965,0.603
37,965,0.599
32,965,0.592
30,965,0.58
11,965,0.58
3,965,0.577
75,965,0.542
81,965,0.512
7,108,2.703
75,108,2.617
50,108,2.611
43,108,2.602
70,108,2.538
38,108,2.422
47,108,2.402
79,108,2.355
82,108,2.307
19,108,2.255
14,108,2.221
21,108,2.214
44,108,2.164
73,108,2.142
31,108,2.128
85,108,2.035
10,108,2.023
1,108,2.016
56,108,2.013
11,108,2.006
26,108,1.981
3,108,1.972
30,108,1.97
64,108,1.957
90,108,1.954
25,108,1.929
6,108,1.92
54,108,1.915
55,108,1.859
4,108,1.847
34,108,1.839
24,108,1.809
71,108,1.799
39,108,1.765
66,108,1.696
49,108,1.682
81,108,1.664
20,108,1.633
88,108,1.595
72,108,1.591
80,108,1.561
83,108,1.549
68,108,1.524
63,108,1.504
37,108,1.476
8,108,1.415
67,108,1.413
48,108,1.361
61,108,1.355
89,108,1.326
32,108,1.302
40,108,1.277
5,108,1.26
86,108,1.241
60,108,1.189
28,108,1.067
52,108,1.034
12,108,1.031
9,108,0.926
78,108,0.911
0,108,0.885
23,108,0.866
53,108,0.863
36,108,0.858
13,108,0.854
42,108,0.817
51,108,0.756
58,108,0.685
33,108,0.684
77,108,0.645
91,108,0.632
29,108,0.616
45,108,0.537
56,585,1.205
31,585,1.167
21,585,0.783
70,585,0.781
11,585,0.748
30,585,0.734
3,585,0.731
82,585,0.631
38,585,0.614
73,585,0.599
14,585,0.599
44,585,0.573
50,585,0.564
85,585,0.563
64,585,0.536
26,1396,3.82
73,1396,3.708
43,1396,3.695
21,1396,3.636
70,1396,3.63
4,1396,3.584
31,1396,3.527
54,1396,3.499
44,1396,3.457
25,1396,3.412
83,1396,3.408
56,1396,3.401
10,1396,3.343
49,1396,3.309
13,1396,3.282
79,1396,3.269
64,1396,3.24
34,1396,3.217
6,1396,3.186
82,1396,3.171
0,1396,3.165
39,1396,3.149
24,1396,3.141
40,1396,3.137
90,1396,3.13
7,1396,3.103
37,1396,3.096
55,1396,3.091
88,1396,3.072
20,1396,3.065
11,1396,3.048
47,1396,3.031
32,1396,3.024
3,1396,3.014
14,1396,3.011
67,1396,3.01
30,1396,3.01
86,1396,2.997
12,1396,2.989
75,1396,2.949
9,1396,2.914
81,1396,2.871
19,1396,2.851
50,1396,2.712
53,1396,2.644
23,1396,2.637
22,1396,2.632
1,1396,2.618
38,1396,2.602
48,1396,2.595
61,1396,2.594
89,1396,2.552
68,1396,2.54
72,1396,2.539
80,1396,2.517
60,1396,2.413
42,1396,2.363
28,1396,2.338
85,1396,2.293
59,1396,2.15
52,1396,2.137
5,1396,2.123
66,1396,2.082
27,1396,2.061
33,1396,1.996
51,1396,1.981
36,1396,1.941
71,1396,1.939
91,1396,1.938
41,1396,1.932
58,1396,1.839
77,1396,1.786
69,1396,1.759
46,1396,1.662
18,1396,1.484
62,1396,1.412
63,1396,1.381
78,1396,1.331
29,1396,1.259
87,1396,1.211
17,1396,1.116
8,1396,1.052
16,1396,0.954
76,1396,0.923
74,1396,0.899
45,1396,0.829
65,1396,0.803
2,1396,0.736
15,1396,0.553
35,1396,0.513
90,46,1.815
70,46,1.654
61,46,1.606
48,46,1.603
82,46,1.588
51,46,1.566
29,46,1.523
14,46,1.481
79,46,1.313
6,46,1.257
64,46,1.237
44,46,1.183
54,46,1.143
85,46,1.074
81,46,1.038
38,46,0.991
66,46,0.949
31,46,0.945
55,46,0.875
21,46,0.862
47,46,0.858
68,46,0.857
75,46,0.818
28,46,0.808
34,46,0.808
50,46,0.807
62,46,0.785
10,46,0.76
39,46,0.754
87,46,0.718
19,46,0.716
56,46,0.708
11,46,0.701
30,46,0.683
3,46,0.68
26,46,0.607
73,46,0.604
7,46,0.559
43,46,0.532
79,1753,1.429
70,1753,1.324
5,1753,1.293
14,1753,1.127
29,1753,0.985
82,1753,0.961
34,1753,0.818
44,1753,0.768
7,1753,0.696
39,1753,0.661
47,1753,0.653
38,1753,0.575
1,25,2.622
44,25,2.299
70,25,2.287
7,25,2.181
79,25,2.122
47,25,2.102
82,25,2.085
19,25,2.069
6,25,1.973
14,25,1.964
75,25,1.957
55,25,1.94
73,25,1.918
31,25,1.91
21,25,1.881
58,25,1.867
90,25,1.841
64,25,1.837
11,25,1.794
80,25,1.774
24,25,1.758
3,25,1.749
30,25,1.744
56,25,1.729
81,25,1.626
26,25,1.622
88,25,1.617
50,25,1.609
34,25,1.608
20,25,1.483
4,25,1.468
54,25,1.455
39,25,1.412
43,25,1.391
72,25,1.317
68,25,1.314
89,25,1.298
38,25,1.264
25,25,1.246
49,25,1.224
52,25,1.201
10,25,1.192
60,25,1.145
28,25,1.138
48,25,1.105
61,25,1.099
37,25,1.076
42,25,1.019
83,25,0.99
45,25,0.989
67,25,0.868
71,25,0.852
32,25,0.829
85,25,0.799
91,25,0.798
51,25,0.743
36,25,0.715
33,25,0.676
86,25,0.646
77,25,0.616
87,25,0.597
0,25,0.577
66,25,0.567
53,25,0.557
13,25,0.548
5,25,0.546
78,25,0.539
10,549,1.849
70,549,1.729
50,549,1.617
14,549,1.605
31,549,1.546
44,549,1.533
7,549,1.501
38,549,1.44
56,549,1.436
47,549,1.404
82,549,1.393
64,549,1.362
73,549,1.354
55,549,1.336
6,549,1.331
11,549,1.322
3,549,1.312
30,549,1.295
26,549,1.281
24,549,1.275
19,549,1.265
4,549,1.245
71,549,1.245
43,549,1.223
49,549,1.181
75,549,1.151
85,549,1.057
