disease,gene,score
44,2755,1.39
73,2755,1.255
31,2755,1.147
55,2755,1.138
30,2755,1.106
3,2755,1.103
11,2755,1.081
56,2755,1.075
24,2755,1.074
64,2755,1.025
6,2755,0.877
33,2755,0.838
34,2755,0.815
70,2755,0.713
20,2755,0.65
82,2755,0.628
72,2755,0.625
39,2755,0.623
54,2755,0.598
68,2755,0.571
14,2755,0.538
60,2755,0.516
50,2571,1.249
44,2571,0.935
38,2571,0.908
73,2571,0.813
55,2571,0.697
6,2571,0.674
29,2571,0.63
31,2571,0.531
55,2836,2.15
50,2836,1.977
44,2836,1.828
72,2836,1.719
70,2836,1.719
82,2836,1.712
38,2836,1.702
73,2836,1.688
4,2836,1.603
31,2836,1.595
21,2836,1.54
26,2836,1.504
6,2836,1.502
56,2836,1.489
14,2836,1.489
64,2836,1.399
79,2836,1.394
24,2836,1.387
11,2836,1.367
83,2836,1.365
8,2836,1.365
71,2836,1.348
18,2836,1.347
3,2836,1.34
30,2836,1.338
85,2836,1.335
75,2836,1.328
88,2836,1.304
60,2836,1.257
68,2836,1.229
34,2836,1.207
49,2836,1.152
37,2836,1.111
47,2836,1.105
39,2836,1.064
43,2836,1.034
32,2836,1.003
19,2836,0.958
20,2836,0.943
7,2836,0.923
25,2836,0.876
80,2836,0.873
16,2836,0.82
89,2836,0.814
65,2836,0.807
62,2836,0.798
86,2836,0.794
52,2836,0.73
81,2836,0.669
22,2836,0.642
66,2836,0.607
28,2836,0.595
58,2836,0.578
10,2836,0.568
12,2836,0.546
41,2836,0.528
13,2836,0.523
50,4120,1.516
31,4120,1.291
56,4120,1.198
44,4120,1.173
8,4120,1.064
6,4120,1.061
70,4120,0.948
55,4120,0.943
47,4120,0.93
64,4120,0.911
85,4120,0.886
20,4120,0.859
11,4120,0.836
7,4120,0.805
24,4120,0.776
4,4120,0.769
38,4120,0.742
73,4120,0.727
34,4120,0.721
30,4120,0.713
3,4120,0.71
72,4120,0.703
14,4120,0.695
89,4120,0.682
62,4120,0.67
75,4120,0.666
66,4120,0.633
26,4120,0.628
88,4120,0.606
68,4120,0.529
82,4120,0.522
16,5112,2.681
21,5112,2.67
70,5112,2.645
29,5112,2.508
58,5112,2.286
90,5112,2.219
79,5112,2.18
6,5112,2.147
14,5112,2.127
31,5112,2.109
44,5112,2.055
82,5112,2.047
10,5112,1.947
50,5112,1.911
71,5112,1.896
56,5112,1.882
75,5112,1.875
76,5112,1.874
38,5112,1.858
4,5112,1.848
81,5112,1.821
55,5112,1.8
47,5112,1.768
54,5112,1.744
7,5112,1.728
24,5112,1.722
64,5112,1.713
74,5112,1.71
26,5112,1.684
73,5112,1.617
66,5112,1.592
19,5112,1.591
5,5112,1.583
37,5112,1.56
69,5112,1.521
61,5112,1.512
48,5112,1.51
85,5112,1.496
43,5112,1.483
11,5112,1.469
83,5112,1.446
3,5112,1.443
30,5112,1.436
34,5112,1.431
32,5112,1.378
25,5112,1.364
72,5112,1.354
20,5112,1.325
68,5112,1.315
88,5112,1.302
78,5112,1.296
49,5112,1.26
40,5112,1.242
39,5112,1.234
51,5112,1.195
80,5112,1.132
60,5112,1.13
28,5112,1.126
52,5112,1.079
65,5112,1.071
27,5112,1.063
1,5112,1.048
17,5112,1.041
2,5112,0.985
89,5112,0.968
15,5112,0.924
53,5112,0.909
86,5112,0.886
36,5112,0.883
0,5112,0.866
13,5112,0.809
67,5112,0.787
33,5112,0.688
8,5112,0.676
42,5112,0.673
77,5112,0.622
45,5112,0.529
41,5112,0.507
70,1526,1.901
82,1526,1.735
14,1526,1.66
44,1526,1.612
7,1526,1.502
4,1526,1.491
50,1526,1.44
64,1526,1.432
55,1526,1.425
21,1526,1.393
79,1526,1.392
31,1526,1.319
54,1526,1.304
37,1526,1.279
43,1526,1.255
90,1526,1.253
32,1526,1.247
47,1526,1.242
38,1526,1.19
26,1526,1.111
56,1526,1.1
25,1526,1.085
24,1526,1.082
6,1526,1.062
71,1526,0.998
83,1526,0.986
42,1526,0.986
3,1526,0.984
30,1526,0.979
11,1526,0.972
36,1526,0.953
73,1526,0.948
68,1526,0.929
75,1526,0.924
85,1526,0.888
19,1526,0.883
40,1526,0.791
72,1526,0.774
53,1526,0.742
10,1526,0.74
34,1526,0.737
88,1526,0.715
60,1526,0.705
67,1526,0.695
49,1526,0.679
39,1526,0.626
81,1526,0.615
55,2398,3.009
44,2398,2.186
65,2398,2.103
31,2398,2.022
11,2398,1.916
56,2398,1.915
30,2398,1.897
3,2398,1.894
64,2398,1.782
4,2398,1.74
6,2398,1.715
26,2398,1.667
24,2398,1.657
68,2398,1.656
73,2398,1.651
88,2398,1.616
37,2398,1.608
32,2398,1.557
83,2398,1.441
49,2398,1.426
34,2398,1.361
39,2398,1.291
20,2398,1.25
81,2398,1.244
36,2398,1.21
52,2398,1.141
72,2398,1.134
12,2398,1.13
48,2398,1.098
38,2398,1.088
23,2398,1.081
89,2398,1.074
61,2398,1.036
60,2398,1.033
28,2398,1.031
41,2398,1.023
86,2398,0.98
42,2398,0.939
70,2398,0.872
50,2398,0.856
53,2398,0.797
71,2398,0.773
82,2398,0.696
77,2398,0.649
79,2398,0.614
13,2398,0.597
7,2398,0.582
14,2398,0.564
29,2398,0.557
0,2398,0.529
70,2205,2.88
14,2205,2.879
82,2205,2.78
75,2205,2.151
47,2205,2.139
79,2205,2.111
7,2205,2.039
19,2205,2.029
64,2205,2.007
31,2205,1.979
44,2205,1.972
56,2205,1.883
55,2205,1.754
6,2205,1.727
3,2205,1.688
30,2205,1.687
11,2205,1.683
24,2205,1.674
4,2205,1.657
90,2205,1.632
34,2205,1.573
50,2205,1.572
26,2205,1.565
73,2205,1.534
39,2205,1.457
37,2205,1.451
81,2205,1.41
49,2205,1.409
32,2205,1.391
38,2205,1.39
72,2205,1.386
52,2205,1.33
58,2205,1.311
20,2205,1.285
60,2205,1.285
1,2205,1.283
28,2205,1.225
61,2205,1.215
48,2205,1.213
54,2205,1.187
83,2205,1.166
43,2205,1.08
88,2205,1.056
71,2205,1.054
89,2205,1.053
21,2205,0.987
68,2205,0.945
80,2205,0.912
12,2205,0.89
10,2205,0.878
25,2205,0.803
2,2205,0.708
85,2205,0.705
86,2205,0.692
33,2205,0.642
36,2205,0.563
29,2205,0.563
6,5450,2.285
31,5450,2.264
44,5450,2.168
56,5450,2.161
73,5450,2.051
55,5450,2.02
81,5450,2.003
4,5450,1.901
64,5450,1.803
24,5450,1.764
11,5450,1.735
3,5450,1.723
30,5450,1.721
26,5450,1.699
70,5450,1.691
37,5450,1.632
57,5450,1.596
34,5450,1.574
20,5450,1.542
68,5450,1.509
50,5450,1.49
78,5450,1.483
88,5450,1.466
39,5450,1.456
82,5450,1.456
14,5450,1.452
32,5450,1.444
83,5450,1.428
1,5450,1.412
38,5450,1.403
60,5450,1.287
49,5450,1.277
75,5450,1.262
72,5450,1.252
52,5450,1.233
89,5450,1.208
71,5450,1.205
61,5450,1.204
48,5450,1.202
7,5450,1.181
47,5450,1.157
28,5450,1.137
79,5450,1.136
86,5450,1.117
90,5450,1.107
54,5450,1.101
36,5450,1.089
19,5450,1.045
43,5450,1.041
85,5450,1.033
21,5450,0.994
66,5450,0.959
53,5450,0.768
33,5450,0.746
23,5450,0.732
41,5450,0.696
51,5450,0.676
12,5450,0.642
58,5450,0.556
10,5450,0.504
85,2404,1.729
66,2404,1.574
50,2404,1.308
38,2404,0.974
11,2404,0.699
71,2404,0.697
82,2404,0.671
70,2404,0.658
36,2404,0.605
30,2404,0.574
27,2404,0.573
3,2404,0.571
4,2404,0.513
44,3831,2.113
31,3831,2.063
64,3831,1.964
55,3831,1.88
56,3831,1.87
6,3831,1.856
4,3831,1.803
34,3831,1.78
24,3831,1.765
11,3831,1.746
73,3831,1.734
39,3831,1.719
26,3831,1.702
3,3831,1.68
30,3831,1.672
81,3831,1.585
83,3831,1.578
86,3831,1.485
37,3831,1.469
36,3831,1.457
42,3831,1.454
70,3831,1.427
88,3831,1.41
29,3831,1.4
32,3831,1.385
20,3831,1.384
49,3831,1.377
82,3831,1.35
68,3831,1.313
50,3831,1.312
61,3831,1.213
48,3831,1.211
89,3831,1.196
85,3831,1.184
60,3831,1.182
72,3831,1.162
1,3831,1.143
14,3831,1.128
38,3831,1.121
66,3831,1.112
28,3831,1.093
77,3831,1.078
90,3831,1.047
75,3831,1.006
52,3831,0.99
79,3831,0.982
7,3831,0.931
47,3831,0.927
12,3831,0.897
53,3831,0.864
71,3831,0.859
19,3831,0.836
54,3831,0.806
33,3831,0.783
58,3831,0.769
27,3831,0.719
10,3831,0.693
69,3831,0.636
91,3831,0.571
18,3831,0.539
21,3831,0.538
10,820,2.258
70,820,1.375
31,820,1.183
4,820,1.173
6,820,1.113
44,820,1.073
26,820,1.059
56,820,1.054
37,820,1.047
43,820,0.944
32,820,0.936
14,820,0.926
73,820,0.923
81,820,0.915
83,820,0.869
11,820,0.821
7,820,0.82
82,820,0.785
30,820,0.778
3,820,0.775
50,820,0.744
86,820,0.738
64,820,0.736
55,820,0.732
38,820,0.712
47,820,0.694
25,820,0.647
24,820,0.64
49,820,0.613
19,820,0.512
63,820,0.51
50,3898,1.468
55,3898,0.705
38,3898,0.695
73,3898,0.673
68,3898,0.63
44,3898,0.511
6,2207,1.514
81,2207,1.362
44,2207,1.346
31,2207,1.253
24,2207,1.2
10,2207,1.116
56,2207,0.996
34,2207,0.991
20,2207,0.967
55,2207,0.94
73,2207,0.94
88,2207,0.832
70,2207,0.83
39,2207,0.824
4,2207,0.776
64,2207,0.652
60,2207,0.559
72,2207,0.549
69,2207,0.534
28,2207,0.528
89,2207,0.526
26,2207,0.522
61,2694,1.419
48,2694,1.417
50,2694,0.811
7,2694,0.801
70,2694,0.778
14,2694,0.747
4,2694,0.617
82,2694,0.579
44,2936,1.615
55,2936,1.513
20,2936,1.504
31,2936,1.477
56,2936,1.363
21,2936,1.298
6,2936,1.276
25,2936,1.197
73,2936,1.138
64,2936,1.112
81,2936,1.107
24,2936,1.071
87,2936,1.063
72,2936,0.981
34,2936,0.962
60,2936,0.934
42,2936,0.814
39,2936,0.795
4,2936,0.762
61,2936,0.711
48,2936,0.709
28,2936,0.692
11,2936,0.676
30,2936,0.653
3,2936,0.65
89,2936,0.57
70,2936,0.535
82,3544,1.502
44,3544,1.39
73,3544,1.278
60,3544,1.105
72,3544,1.043
31,3544,0.976
68,3544,0.953
24,3544,0.918
55,3544,0.876
89,3544,0.842
56,3544,0.825
4,3544,0.786
28,3544,0.78
64,3544,0.76
39,3544,0.731
34,3544,0.728
85,3544,0.661
37,3544,0.636
84,3544,0.634
61,3544,0.629
48,3544,0.627
52,3544,0.604
29,3544,0.603
26,3544,0.569
2,3544,0.53
30,3544,0.512
3,3544,0.508
82,4587,2.697
70,4587,2.563
14,4587,2.416
79,4587,2.176
44,4587,1.973
50,4587,1.962
85,4587,1.919
38,4587,1.829
47,4587,1.812
64,4587,1.806
4,4587,1.778
55,4587,1.758
19,4587,1.742
31,4587,1.722
7,4587,1.717
26,4587,1.702
34,4587,1.693
21,4587,1.617
39,4587,1.589
75,4587,1.568
71,4587,1.555
6,4587,1.527
66,4587,1.494
56,4587,1.485
37,4587,1.479
73,4587,1.477
11,4587,1.462
24,4587,1.429
30,4587,1.417
3,4587,1.414
1,4587,1.38
83,4587,1.337
72,4587,1.334
90,4587,1.328
32,4587,1.315
86,4587,1.292
20,4587,1.291
60,4587,1.286
54,4587,1.257
81,4587,1.247
43,4587,1.215
49,4587,1.139
80,4587,1.106
12,4587,1.026
61,4587,1.02
48,4587,1.018
68,4587,0.996
28,4587,0.881
52,4587,0.878
10,4587,0.876
25,4587,0.866
23,4587,0.667
58,4587,0.58
5,4587,0.576
62,4587,0.565
36,4587,0.524
42,4587,0.522
10,443,1.78
25,443,1.623
70,443,1.599
21,443,1.546
7,443,1.535
47,443,1.355
82,443,1.338
44,443,1.237
14,443,1.219
50,443,1.202
19,443,1.188
79,443,1.175
43,443,1.135
31,443,1.116
75,443,1.1
38,443,1.098
73,443,1.093
54,443,1.075
56,443,1.071
64,443,0.962
66,443,0.884
4,443,0.882
71,443,0.857
6,443,0.849
26,443,0.84
90,443,0.785
1,443,0.778
34,443,0.768
55,443,0.734
40,443,0.687
37,443,0.655
32,443,0.644
72,443,0.619
3,443,0.617
24,443,0.605
20,443,0.604
30,443,0.599
39,443,0.599
11,443,0.594
85,443,0.544
60,443,0.512
31,543,2.672
56,543,2.656
26,543,2.399
73,543,2.372
44,543,2.305
4,543,2.225
43,543,2.217
6,543,2.168
11,543,2.138
49,543,2.133
88,543,2.128
3,543,2.117
30,543,2.115
70,543,2.071
83,543,2.045
50,543,2.045
7,543,2.031
81,543,1.993
86,543,1.96
34,543,1.96
24,543,1.939
75,543,1.915
37,543,1.913
55,543,1.9
39,543,1.886
64,543,1.879
32,543,1.851
12,543,1.827
82,543,1.813
21,543,1.79
20,543,1.774
48,543,1.76
61,543,1.754
79,543,1.711
14,543,1.692
22,543,1.64
54,543,1.63
28,543,1.619
47,543,1.604
10,543,1.597
25,543,1.576
38,543,1.569
19,543,1.535
90,543,1.531
23,543,1.529
68,543,1.462
72,543,1.388
89,543,1.373
53,543,1.355
13,543,1.354
1,543,1.347
85,543,1.328
0,543,1.31
71,543,1.268
80,543,1.248
60,543,1.147
9,543,1.126
51,543,1.063
42,543,1.029
87,543,1.026
33,543,0.993
36,543,0.983
91,543,0.976
52,543,0.916
40,543,0.904
59,543,0.884
77,543,0.864
29,543,0.791
78,543,0.783
41,543,0.73
67,543,0.725
66,543,0.712
5,543,0.638
8,543,0.502
44,3816,1.654
50,3816,1.021
4,3816,1.016
31,3816,0.991
24,3816,0.988
26,3816,0.977
37,3816,0.907
73,3816,0.896
85,3816,0.883
65,3816,0.881
81,3816,0.88
49,3816,0.861
6,3816,0.837
66,3816,0.834
68,3816,0.83
34,3816,0.806
55,3816,0.772
41,3816,0.752
56,3816,0.676
11,3816,0.674
39,3816,0.668
32,3816,0.655
20,3816,0.61
38,3816,0.598
52,3816,0.583
23,3816,0.583
64,3816,0.582
30,3816,0.574
3,3816,0.571
25,3816,0.523
50,917,4.23
10,917,1.511
44,917,1.346
55,917,1.086
31,917,1.055
70,917,1.049
66,917,0.951
56,917,0.943
6,917,0.935
24,917,0.922
64,917,0.882
82,917,0.88
26,917,0.837
14,917,0.834
71,917,0.818
4,917,0.75
34,917,0.75
73,917,0.736
11,917,0.723
30,917,0.719
3,917,0.715
49,917,0.598
25,917,0.583
85,917,0.566
79,917,0.502
85,1071,1.399
31,1071,1.357
55,1071,1.274
64,1071,1.224
70,1071,1.193
56,1071,1.155
44,1071,1.142
82,1071,1.119
79,1071,1.11
14,1071,1.001
34,1071,0.989
90,1071,0.96
39,1071,0.955
60,1071,0.95
72,1071,0.887
