Adipose_Subcutaneous,Adipose_Visceral_Omentum,Adrenal_Gland,Artery_Aorta,Artery_Coronary,Artery_Tibial,Bladder,Brain_Amygdala,Brain_Anterior_cingulate_cortex_BA24,Brain_Caudate_basal_ganglia,Brain_Cerebellar_Hemisphere,Brain_Cerebellum,Brain_Cortex,Brain_Frontal_Cortex_BA9,Brain_Hippocampus,Brain_Hypothalamus,Brain_Nucleus_accumbens_basal_ganglia,Brain_Putamen_basal_ganglia,Brain_Spinal_cord_cervical_c-1,Brain_Substantia_nigra,Breast_Mammary_Tissue,Cells_Cultured_fibroblasts,Cells_EBV-transformed_lymphocytes,Cervix_Ectocervix,Cervix_Endocervix,Colon_Sigmoid,Colon_Transverse,Colon_Transverse_Mixed_Cell,Colon_Transverse_Mucosa,Colon_Transverse_Muscularis,Esophagus_Gastroesophageal_Junction,Esophagus_Mucosa,Esophagus_Muscularis,Fallopian_Tube,Heart_Atrial_Appendage,Heart_Left_Ventricle,Kidney_Cortex,Kidney_Medulla,Liver,Liver_Hepatocyte,Liver_Mixed_Cell,Liver_Portal_Tract,Lung,Minor_Salivary_Gland,Muscle_Skeletal,Nerve_Tibial,Ovary,Pancreas,Pancreas_Acini,Pancreas_Islets,Pancreas_Mixed_Cell,Pituitary,Prostate,Skin_Not_Sun_Exposed_Suprapubic,Skin_Sun_Exposed_Lower_leg,Small_Intestine_Terminal_Ileum,Small_Intestine_Terminal_Ileum_Lymphode_Aggregate,Small_Intestine_Terminal_Ileum_Mixed_Cell,Spleen,Stomach,Stomach_Mixed_Cell,Stomach_Mucosa,Stomach_Muscularis,Testis,Thyroid,Uterus,Vagina,Whole_Blood
54.3508,49.6199,38.1675,57.2992,53.7758,64.441,72.7372,19.7085,28.1231,25.0112,83.9929,78.8973,42.0656,45.9391,22.8465,29.4393,27.7201,22.4188,28.5345,21.6082,60.2668,103.908,105.436,70.9655,81.6576,55.6165,48.2065,42.5328,34.1674,46.877,57.5917,77.8979,56.3083,80.124,30.2038,24.1599,27.586,45.6783,27.8425,26.7836,31.0466,50.1041,57.9511,51.0099,60.9232,72.1541,66.0095,29.211,28.4141,47.0662,30.3355,58.391,65.1251,85.5942,92.6457,52.2213,67.3884,55.651,61.9032,43.9116,40.54,30.1424,49.9026,101.655,69.1514,79.8369,72.3582,17.3696
41.3513,39.4005,14.7441,57.8256,50.7493,57.6742,33.5193,51.0284,28.6225,30.9947,9.17117,9.06607,28.0677,34.982,33.1409,47.9869,25.3861,35.6169,34.4774,33.6926,32.1766,45.0405,776.493,37.9192,41.2489,50.3657,33.5897,31.2826,18.6588,40.4599,38.1728,12.4199,38.5797,39.7607,19.582,15.7335,23.3332,59.9107,32.1541,25.0808,34.827,35.8841,76.3398,13.1909,7.12279,43.9149,17.9624,5.99993,5.70627,6.31297,8.53982,32.3042,34.4951,11.3271,12.5669,38.4238,35.0712,42.407,65.9577,20.3966,19.6052,9.46959,49.0769,12.8553,40.1621,38.1567,29.9099,36.6204
48.5206,44.3444,38.5465,83.2782,68.3514,84.2388,84.3215,20.4543,24.4381,23.0674,127.025,129.51,34.061,31.418,24.5634,27.308,25.8081,21.5656,31.3892,23.6836,53.2117,48.9068,48.5607,84.1165,126.038,86.471,52.6519,46.9082,41.6513,99.46,77.0645,42.4846,72.437,108.132,24.1014,22.6525,26.0908,67.9708,21.2254,19.6285,20.5019,64.8309,57.3952,47.8439,35.2699,75.2716,115.482,25.6811,33.0388,38.7151,32.4952,75.5214,86.9258,59.0388,58.7495,55.4349,82.3446,60.247,62.7967,46.6122,54.5821,40.6549,68.9854,100.448,84.0136,147.23,83.2237,23.9897
58.5882,51.891,64.018,70.4147,65.6211,70.1115,75.6163,72.8608,88.857,58.8596,101.368,108.572,100.153,92.5624,65.8376,54.2547,67.9192,51.8836,51.3044,49.6029,61.6758,64.926,24.3656,86.9623,91.0893,86.6821,58.2043,63.3232,51.5739,76.2347,77.1902,87.7233,78.3689,98.8444,37.7512,43.7778,30.9965,72.1812,35.0201,32.5225,33.2056,51.7466,73.5252,66.6921,153.78,129.661,89.2556,38.9405,42.6858,48.6071,47.203,85.6528,78.4056,82.6966,83.1556,50.7669,56.8745,60.8677,49.8383,66.1098,80.802,71.1938,75.0586,137.002,87.387,95.4911,86.1027,11.5082
95.6896,98.7688,108.607,92.1867,95.1633,91.9631,92.0785,86.9697,101.868,87.7995,107.127,99.4907,97.0453,115.319,77.8152,88.7942,95.0219,83.2366,79.2749,91.4618,98.8378,148.545,141.968,91.862,94.0509,117.443,105.677,137.041,103.757,111.5,102.16,103.299,104.294,93.867,98.2945,102.923,86.7369,137.556,90.8565,83.8752,100.516,100.434,91.0012,85.0549,129.853,90.3003,76.8206,49.1603,60.6441,78.2846,65.7226,110.637,108.396,92.1743,96.204,88.6648,102.602,115.784,103.823,95.8313,118.34,115.769,126.006,430.451,118.896,93.5394,87.4369,72.6758
73.0151,72.6438,68.2504,88.555,87.3167,91.0038,82.5607,50.6167,60.1027,50.5327,65.8773,59.6418,52.3505,64.8269,45.5111,59.7582,57.6658,45.7435,57.6587,54.0572,78.9273,98.444,110.799,73.0357,80.2286,91.7892,65.7584,66.8855,48.7962,97.9615,84.5767,67.1258,84.2656,87.972,54.2863,53.3281,46.4541,73.0467,40.5792,52.198,58.8648,91.3406,75.1088,63.3769,79.9768,86.0666,76.7243,35.192,39.6616,69.9113,43.2047,90.0576,91.2491,64.0178,64.3998,63.8562,88.2829,76.7277,76.326,60.1732,67.6899,59.2548,97.1311,59.1523,93.6866,82.8114,72.1797,26.6319
56.0279,53.8763,68.6404,53.6479,55.9558,58.3615,39.3913,9.82197,11.612,11.3653,20.8292,24.1983,15.4581,13.7029,9.54093,11.1861,11.4969,10.2982,12.6679,10.3677,46.9919,36.1677,54.3299,32.1753,43.8965,33.6248,42.3761,52.1019,50.8332,32.4169,42.387,26.8733,43.5003,48.9424,15.5575,9.30694,17.9332,31.669,51.6049,89.1346,86.3921,50.221,55.7108,35.9172,9.79327,47.2189,47.8433,16.9959,17.5681,17.7186,19.173,30.363,39.719,28.6961,30.2872,46.0415,66.6745,53.1909,105.326,35.4438,38.9619,31.4773,32.8738,43.3662,45.725,45.0381,33.0655,131.398
232.406,193.233,149.37,297.683,256.652,312.094,212.521,206.519,327.9,196.163,367.266,304.828,328.945,395.828,171.262,188.919,210.131,172.084,202.801,155.469,199.474,335.9,280.49,180.468,230.131,209.157,156.149,152.38,106.151,165.053,197.475,125.626,203.924,225.444,78.0626,54.5504,99.3621,133.371,50.564,51.47,65.6105,164.865,256.301,139.674,33.2789,232.162,200.872,46.0005,32.4704,146.464,41.9942,185.341,164.143,167.476,175.968,185.358,162.747,178.196,182.827,111.799,106.674,74.4847,161.055,134.712,179.974,252.9,185.047,173.21
68.842,58.483,19.5686,143.278,99.3167,147.156,55.5416,19.7642,25.1057,23.6655,217.149,218.482,30.2595,29.3316,20.6366,17.5655,27.9307,18.7521,23.7074,15.3997,58.6739,53.3506,11.3933,53.9897,93.1442,62.931,35.2734,18.1701,11.5907,37.1606,75.6889,33.2542,73.5918,70.4811,30.5816,14.3061,12.9571,32.1315,14.8,11.1184,10.5964,43.3359,69.6514,40.2239,15.9461,81.9983,75.3589,8.54757,4.72651,16.2009,7.03243,41.3643,51.825,56.4072,66.8107,40.747,43.079,27.8254,42.5791,23.0461,20.2326,10.6374,40.4113,31.2172,57.5226,101.003,56.8515,12.6351
0.653513,1.19186,2.28563,0.685655,0.665969,0.224038,18.5865,10.1588,21.8812,9.07406,141.707,169.261,34.2669,24.265,17.9134,12.5058,11.9236,7.67873,38.0645,11.5816,8.14329,0.126113,1.78538,31.6902,1.39423,1.27713,2.19815,1.90173,2.9027,1.02314,0.373941,35.7398,0.4236,1.84721,0.21043,0.0896,5.27698,4.38499,4.88632,5.66947,4.50644,10.7262,3.99015,25.6563,0.101039,0.688436,0.370047,4.08912,3.04684,293.232,6.59268,25.1767,38.5257,109.466,85.3347,5.9232,27.1987,8.61769,11.6101,1.28108,1.51762,1.13197,0.706332,4.57415,5.8303,0.793317,42.4729,3.31243
