disease,gene,score
210,2755,0.12
210,1495,0.22
210,2730,0.12
210,4589,0.24
210,4242,0.16
210,3059,0.18
210,4058,0.16
210,3061,0.24
210,847,0.52
210,2182,0.16
210,6008,0.26
210,3429,0.1
210,2970,0.22
210,5288,0.16
210,159,0.26
210,5614,0.2
210,3635,0.28
210,735,0.12
210,2490,0.16
210,5771,0.42
210,5369,0.22
210,1621,0.24
210,3606,0.1
210,2913,0.22
210,3726,0.58
210,1387,0.14
210,1905,0.28
210,5655,0.26
210,3845,0.4
210,1619,0.1
210,67,0.12
210,6052,0.14
210,2609,0.1
210,1682,0.24
210,2163,0.24
210,702,0.1
210,816,0.16
210,2004,0.12
210,1843,0.14
210,848,0.16
210,3550,0.24
210,4696,0.14
210,1348,0.12
210,1110,0.28
210,6221,0.12
210,442,0.18
210,1216,0.14
210,644,0.4
210,5704,0.16
210,1489,0.18
210,6403,0.16
210,4208,0.12
210,3504,0.16
210,5608,0.14
210,4485,0.38
210,5471,0.12
210,3083,0.12
210,4813,0.16
210,1050,0.28
210,4246,0.18
210,620,0.18
210,3869,0.1
210,1266,0.16
210,1035,0.58
210,6248,0.22
210,4857,0.16
210,6132,0.56
210,1030,0.34
210,5165,0.34
210,1917,0.6
210,6128,0.14
210,1635,0.2
210,2172,0.28
210,5546,0.14
210,4386,0.24
210,2384,0.1
210,325,0.18
210,1998,0.18
210,3380,0.18
210,2387,0.12
210,3688,0.2
210,1738,0.16
210,4716,0.54
210,2296,0.12
210,5724,0.12
210,1557,0.18
210,3166,0.26
210,2636,0.14
210,5530,0.18
210,3291,0.22
210,2144,0.16
210,1143,0.12
210,520,0.26
210,6378,0.22
210,241,0.12
210,1394,0.18
210,6458,0.26
210,4993,0.2
210,4695,0.3
210,3169,0.3
210,4150,0.18
210,3077,0.16
210,1499,0.5
210,5706,0.24
210,6074,0.4
210,2521,0.16
210,3421,0.16
210,6096,0.1
210,276,0.38
210,2925,0.3
210,5015,0.42
210,4214,0.12
210,5632,0.1
210,1999,0.16
210,1627,0.16
210,4667,0.24
210,1878,0.16
210,1803,0.12
210,3348,0.16
210,3551,0.42
210,2663,0.42
210,2567,0.72
210,2627,0.26
210,4236,0.44
210,2857,0.2
210,2684,0.5
210,570,0.46
210,4465,0.12
210,2604,0.22
210,1424,0.26
210,2595,0.18
210,5928,0.36
210,3697,0.16
210,3296,0.2
210,3882,0.1
210,3584,0.24
210,5605,0.28
