MeshId	TreeNum
D008105	C06.130.120.135.250.250, C06.552.150.250, C06.552.630.400, C23.550.355.412.400
D007634	C11.204.564
D013967	C19.874.871.102, C20.111.809
D006509	C01.221.250.500, C01.925.256.430.400, C01.925.440.435, C06.552.380.705.437
D016410	C04.557.386.480.750.800, C15.604.515.569.480.750.800, C20.683.515.761.480.750.800
D000077192	C04.557.470.200.025.022, C04.588.894.797.520.055
D020294	C10.668.758.800, C16.320.590
D007938	C04.557.337, C15.378.508
D014777	C01.925
D010003	C05.550.114.606, C05.799.613
D005621	C10.228.140.252.700.150, C10.228.854.787.200, C10.574.500.825.200, C16.320.400.780.200, C18.452.660.300
D014652	C14.907
D001254	C04.557.465.625.600.380.080, C04.557.470.670.380.080, C04.557.580.625.600.380.080
D007938	C04.557.337, C15.378.508
D009080	C14.907.940.560, C15.604.560, C17.800.862.560
D006073	C05.550.114.423, C05.550.354.500, C05.799.414, C16.320.565.798.368, C18.452.648.798.368
D010190	C04.588.274.761, C04.588.322.475, C06.301.761, C06.689.667, C19.344.421
D008579	C04.557.580.520, C04.557.645.520, C04.588.614.250.580.500, C10.551.240.500.500
D008268	C11.768.585.439
D051359	C15.604.250.410.575
D013945	C04.557.435.850, C04.588.894.949.500, C15.604.861.800
D050197	C14.907.137.126.307
D013494	C10.228.140.079.882, C10.228.662.700, C10.292.562.750.500, C10.574.945.500, C10.597.622.447.690, C11.590.472.500, C23.888.592.636.447.690
C564133	
D009157	C04.588.614.550.500, C04.730.856.490, C10.114.656, C10.574.781.588, C10.668.758.725, C20.111.258.500
D008581	C10.586.625
D019189	C18.452.565
D003092	C06.405.205.265, C06.405.469.158.188
D003424	C06.405.205.731.500, C06.405.469.432.500
D020391	C05.651.534.500.400, C10.668.491.175.500.400, C16.320.577.400
D019693	C06.552.380.350.300, C20.111.567
D001171	C05.550.114.122, C05.799.056, C17.300.775.049, C20.111.198
D013313	F03.950.750.500
D010020	C05.116.852, C23.550.717.732
D005910	C04.557.465.625.600.380, C04.557.470.670.380, C04.557.580.625.600.380
D013922	C15.378.140.860, C15.378.190.636.860
D016403	C04.557.386.480.150.585, C15.604.515.569.480.150.585, C20.683.515.761.480.150.585
D016736	C20.111.197
D002779	C06.130.120.135
D003550	C06.689.202, C08.381.187, C16.320.190, C16.614.213
D010049	C12.050.351.500.056.630, C12.100.250.056.630, C19.391.630
D008171	C08.381
D016411	C04.557.386.480.750.825, C15.604.515.569.480.750.825, C20.683.515.761.480.750.825
D001157	C14.907.137
D003924	C18.452.394.750.149, C19.246.300
D020258	C10.720, C25.723.705
D017096	C01.207.800, C10.228.228.800, C10.574.843
D009223	C05.651.534.500.500, C05.651.662.750, C10.574.500.547, C10.668.491.175.500.500, C10.668.491.606.750, C16.320.400.542, C16.320.577.500
D008052	C16.320.565.398, C18.452.584.563, C18.452.648.398
D009220	C05.651.594, C10.668.491.562
D053713	C12.100.500.430.380, C12.100.750.700.380, C12.200.294.430.380
D019337	C04.588.448, C15.378.400
D049310	C05.651.534.500.074, C10.668.491.175.500.074, C16.320.577.074
D054198	C04.557.337.428.600, C15.378.508.428.600, C15.604.515.560.600, C20.683.515.528.600
D001172	C05.550.114.154, C05.799.114, C17.300.775.099, C20.111.199
D018263	C04.557.470.200.025.060
D015464	C04.557.337.539.250, C15.378.190.636.370, C15.378.508.539.250, C23.550.291.500.485
D017563	C08.381.483
D006349	C14.280.484
D003744	C07.650.800.295.625, C07.793.700.295.625, C16.131.850.800.295.625
D014375	C01.150.252.410.040.552.846.493
D007889	C04.557.450.590.450
D009203	C14.280.647.500, C14.907.585.500, C23.550.513.355.750, C23.550.717.489.750
D006453	C15.378.420, C16.320.365
D008080	C04.557.450.550.420, C04.557.450.795.465
D013167	C05.116.900.853.625.800.744.500, C05.550.069.340.500, C05.550.114.865.800.744.500
D002813	C04.557.450.565.280, C04.557.450.795.300
D000437	C25.775.100.250, F03.900.100.350
D000686	C18.452.845.500
D011085	C04.182.612.765, C12.050.351.500.056.630.580.765, C12.100.250.056.630.580.765, C19.391.630.580.765
D006258	C04.588.443
D005921	C12.050.351.968.419.570.363, C12.200.777.419.570.363, C12.950.419.570.363
D009202	C14.280.238
D001249	C08.127.108, C08.381.495.108, C08.674.095, C20.543.480.680.095
D008193	C01.150.252.400.536, C01.150.252.400.794.352.250, C01.920.930.513
D014820	C17.800.621.440.895
D017728	C04.557.386.480.750.399, C15.604.515.569.480.750.600, C20.683.515.761.480.750.399
D010510	C07.465.714
D010523	C10.668.829
D002051	C01.925.256.466.313.165, C01.925.928.313.165, C04.557.386.480.150.165, C15.604.515.569.480.150.165, C20.683.515.761.480.150.165
D010505	C16.320.382.625
D014594	C04.588.945.418.948, C12.050.351.500.852.762, C12.050.351.937.418.875, C12.100.250.852.762, C12.900.418.875
D005923	C12.050.351.968.419.570.363.640, C12.200.777.419.570.363.660, C12.950.419.570.363.640
D005835	A05.360
D010051	C04.588.322.455, C12.050.351.500.056.630.705, C12.050.351.937.418.685, C12.100.250.056.630.705, C12.900.418.685, C19.344.410, C19.391.630.705
D011565	C17.800.859.675
D008223	C04.557.386, C15.604.515.569, C20.683.515.761
D016649	C12.050.351.500.056.630.750, C12.100.250.056.630.750, C19.391.630.750
D004062	C05.660.207.103.500, C14.240.400.021.500, C14.280.400.044.500, C15.604.451.249.500, C16.131.077.019.500, C16.131.240.400.021.500, C16.131.260.019.500, C16.131.482.249.500, C16.131.621.207.103.500, C16.320.180.019.500, C19.642.482.500.500
D000505	C17.800.329.937.122, C23.300.035
D016584	F03.080.700
D013964	C04.588.322.894, C04.588.443.915, C19.344.894, C19.874.788
D003865	F03.600.300.375
D007690	C12.050.351.968.419.403.875, C12.200.777.419.403.875, C12.950.419.403.875, C16.131.077.717, C16.320.184.625
D013736	C04.588.322.762, C04.588.945.440.915, C12.100.500.260.937, C12.200.294.260.937, C12.200.758.409.937, C12.900.619.937, C19.344.762, C19.391.829.782
D003863	F01.145.126.350, F01.470.282
D005909	C04.557.465.625.600.380.080.335, C04.557.470.670.380.080.335, C04.557.580.625.600.380.080.335
D002294	C04.557.470.200.400, C04.557.470.700.400
D008228	C04.557.386.480, C15.604.515.569.480, C20.683.515.761.480
D010195	C06.689.750
D006967	C20.543
D013771	C14.240.400.849, C14.280.400.849, C16.131.240.400.849
D003876	C16.320.850.210, C17.800.174.193, C17.800.815.193, C17.800.827.210, C20.543.480.343
D012871	C17.800
D008175	C04.588.894.797.520, C08.381.540, C08.785.520
D015470	C04.557.337.539.275, C15.378.508.539.275
D012208	C04.557.450.590.550.660, C04.557.450.795.550.660
D065631	C08.460.799.315, C08.674.453, C09.603.799.315, C20.543.480.680.443
D010538	C01.463.600, C06.844.640
D008224	C04.557.386.480.350, C15.604.515.569.480.350, C20.683.515.761.480.350
D007680	C04.588.945.947.535, C12.050.351.937.820.535, C12.050.351.968.419.473, C12.200.758.820.750, C12.200.777.419.473, C12.900.820.535, C12.950.419.473, C12.950.983.535
D010013	C05.116.099.708.685, C16.320.737, C17.300.200.540
D003922	C18.452.394.750.124, C19.246.267, C20.111.327
D009290	C10.886.425.800.200.750, F03.870.400.800.200.750
D018203	C04.557.435.775, C04.557.450.795.332.500, C12.050.351.500.852.762.200.500.500, C12.050.351.937.418.875.200.374.500, C12.100.250.852.762.200.500.500, C12.900.418.875.200.374.500
D000163	C01.221.250.875.040, C01.221.812.640.400.040, C01.778.640.400.040, C01.925.782.815.616.400.040, C01.925.813.400.040, C01.925.839.040, C12.100.937.640.400.040, C20.673.480.040
D006319	C09.218.458.341.887, C10.597.751.418.341.887, C23.888.592.763.393.341.887
D001014	C14.907.055.239, C14.907.109.139
D014657	C14.907.940
D006333	C14.280.434
D054989	C17.800.553, C23.550.355.550
C563003	
D003093	C06.405.205.265.231, C06.405.205.731.249, C06.405.469.158.188.231, C06.405.469.432.249
D005776	C10.228.140.163.100.435.825.400, C16.320.565.189.435.825.400, C16.320.565.398.641.803.441, C16.320.565.595.554.825.400, C18.452.132.100.435.825.400, C18.452.584.563.641.803.441, C18.452.648.189.435.825.400, C18.452.648.398.641.803.441, C18.452.648.595.554.825.400
D010033	C09.218.705.663
D008527	C04.557.465.625.600.380.515, C04.557.465.625.600.590.500, C04.557.470.670.380.515, C04.557.470.670.590.500, C04.557.580.625.600.380.515, C04.557.580.625.600.590.500
D006929	C19.053.800.604
D007951	C04.557.337.539, C15.378.508.539
D007918	C01.150.252.410.040.552.475.371
D010300	C10.228.140.079.862.500, C10.228.662.600.400, C10.574.928.750
D009404	C12.050.351.968.419.630.643, C12.200.777.419.630.643, C12.950.419.630.643
D001749	C04.588.945.947.960, C12.050.351.937.820.945, C12.050.351.968.829.707, C12.200.758.820.968, C12.200.777.829.813, C12.900.820.945, C12.950.829.707, C12.950.983.945
D000075222	C14.907.489.165
D055959	C05.116.900.153
D007896	C01.610.752.300.500, C01.610.858.560, C01.920.813, C17.800.838.775.560
D004941	C06.405.117.620, C06.405.205.663
D002292	C04.557.470.200.025.390, C04.588.945.947.535.160, C12.050.351.937.820.535.160, C12.050.351.968.419.473.160, C12.200.758.820.750.160, C12.200.777.419.473.160, C12.900.820.535.160, C12.950.419.473.160, C12.950.983.535.160
D014397	C01.150.252.410.040.552.846.899, C01.748.939, C08.381.922, C08.730.939
D015473	C04.557.337.539.275.700, C15.378.508.539.275.700
D011658	C08.381.483.652, C23.550.355.644
D012140	C08
D002583	C04.588.945.418.948.850, C12.050.351.500.852.593.131, C12.050.351.500.852.762.850, C12.050.351.937.418.875.850, C12.100.250.852.593.131, C12.100.250.852.762.850, C12.900.418.875.850
D011655	C08.381.746, C14.907.355.350.700
D018295	C04.557.470.565
D009103	C10.114.375.500, C10.314.350.500, C20.111.258.250.500
D001847	C05.116
D015212	C06.405.205.731, C06.405.469.432
D001528	C07.465.075, C11.941.879.780.880.200, C14.907.940.100, C16.320.382.250, C17.800.827.368.250, C17.800.862.150
